LISTA COMPACTA DE PERFIS
Cada linha tem: nome | primeiro_nome | sexo_inferido | instituição | bolsa | categoria_bolsa | UF | região
Luis Carlos Erpen de Bona | Luis | male | UFPR | PQ-2 | PQ-2 | PR | Sul
Luís da Cunha Lamb | Luís | male | UFRGS | PQ-1A | PQ-1 | RS | Sul
Luis Enrique Zárate Gálvez | Luis | male | PUC Minas | PQ-C | PQ-C | MG | Sudeste
Luís Felipe Ignácio Cunha | Luís | male | UFF | PQ-C | PQ-C | RJ | Sudeste
Luis Gustavo Nonato | Luis | male | USP | PQ-1C | PQ-1 | SP | Sudeste
Luis Henrique Maciel Kosmalski Costa | Luis | male | UFRJ | PQ-1C | PQ-1 | RJ | Sudeste
Luiz Chaimowicz | Luiz | male | UFMG | PQ-2 | PQ-2 | MG | Sudeste
Luiz Eduardo Soares de Oliveira | Luiz | male | UFPR | PQ-1D | PQ-1 | PR | Sul
Luiz Fernando Bittencourt | Luiz | male | UNICAMP | PQ-1C | PQ-1 | SP | Sudeste
Luiz Fernando Rust da Costa Carmo | Luiz | male | INMETRO | PQ-C | PQ-C | RJ | Sudeste
Luiz Filipe Menezes Vieira | Luiz | male | UFMG | PQ-1D | PQ-1 | MG | Sudeste
Luiz Gustavo Leão Fernandes | Luiz | male | PUCRS | PQ-2 | PQ-2 | RS | Sul
Luiz Marcos Garcia Goncalves | Luiz | male | UFRN | PQ-C | PQ-C | RN | Nordeste
Luiz Satoru Ochi | Luiz | male | UFF | PQ-1C | PQ-1 | RJ | Sudeste
Luiza de Macedo Mourelle | Luiza | female | UERJ | PQ-1D | PQ-1 | RJ | Sudeste
Magnos Martinello | Magnos | male | UFES | PQ-2 | PQ-2 | ES | Sudeste
Manoel Bezerra Campêlo Neto | Manoel | male | UFC | PQ-1D | PQ-1 | CE | Nordeste
Manoel Gomes de Mendonça Neto | Manoel | male | UFBA | PQ-2 | PQ-2 | BA | Nordeste
Manuel Menezes de Oliveira Neto | Manuel | male | UFRGS | PQ-1B | PQ-1 | RS | Sul
Marcella Scoczynski Ribeiro Martins | Marcella | female | UTFPR | PQ-C | PQ-C | PR | Sul
Marcelo Caggiani Luizelli | Marcelo | male | UNIPAMPA | PQ-C | PQ-C | RS | Sul
Marcelo de Almeida Maia | Marcelo | male | UFU | PQ-C | PQ-C | MG | Sudeste
Marcelo Fantinato | Marcelo | male | USP | PQ-C | PQ-C | SP | Sudeste
Marcelo Finger | Marcelo | male | USP | PQ-1D | PQ-1 | SP | Sudeste
Marcelo Garcia Manzato | Marcelo | male | USP | PQ-C | PQ-C | SP | Sudeste
Marcelo Keese Albertini | Marcelo | male | UFU | PQ-2 | PQ-2 | MG | Sudeste
Marcelo Lobosco | Marcelo | male | UFJF | PQ-C | PQ-C | MG | Sudeste
Marcelo Teixeira | Marcelo | male | UTFPR | PQ-2 | PQ-2 | PR | Sul
Marcelo Walter | Marcelo | male | UFRGS | PQ-2 | PQ-2 | RS | Sul
Marcelo Zanchetta do Nascimento | Marcelo | male | UFU | PQ-C | PQ-C | MG | Sudeste
Marcia Helena Costa Fampa | Marcia | female | UFRJ | PQ-2 | PQ-2 | RJ | Sudeste
Márcio Bastos Castro | Márcio | male | UFSC | PQ-2 | PQ-2 | SC | Sul
Márcio de Medeiros Ribeiro | Márcio | male | UFAL | PQ-1D | PQ-1 | AL | Nordeste
Márcio Dorn | Márcio | male | UFRGS | PQ-B | unknown | RS | Sul
Márcio Porto Basgalupp | Márcio | male | UNIFESP | PQ-2 | PQ-2 | SP | Sudeste
Marco Antonio Casanova | Marco | male | PUC-Rio | PQ-1B | unknown | RJ | Sudeste
Marco Serpa Molinaro | Marco | male | PUC-Rio | PQ-C | PQ-C | RJ | Sudeste
Marco Tulio de Oliveira Valente | Marco | male | UFMG | PQ-1C | PQ-1 | MG | Sudeste
Marcos André Gonçalves | Marcos | male | UFMG | PQ-A | unknown | MG | Sudeste
Marcos Antonio Simplicio Junior | Marcos | male | USP | PQ-2 | PQ-2 | SP | Sudeste
Marcos Augusto Menezes Vieira | Marcos | male | UFMG | PQ-1C | PQ-1 | MG | Sudeste
Marcos de Oliveira Lage Ferreira | Marcos | male | UFF | PQ-C | PQ-C | RJ | Sudeste
Marcos Eduardo Ribeiro do Valle Mesquita | Marcos | male | UNICAMP | PQ-C | PQ-C | SP | Sudeste
Marcos Gonçalves Quiles | Marcos | male | UNIFESP | PQ-C | PQ-C | SP | Sudeste
Marcos Kalinowski | Marcos | male | PUC-Rio | PQ-1D | PQ-1 | RJ | Sudeste
Marcus Rolf Peter Ritt | Marcus | male | UFRGS | PQ-2 | PQ-2 | RS | Sul
Marcus Vinicius Soledade Poggi de Aragao | Marcus | male | PUC-Rio | PQ-1D | PQ-1 | RJ | Sudeste
Maria Andréia Formico Rodrigues | Maria | female | UNIFOR | PQ-2 | PQ-2 | CE | Nordeste
Maria Cecília Calani Baranauskas | Maria | female | UNICAMP | PQ-1D | PQ-1 | SP | Sudeste
Maria Cristina Ferreira de Oliveira | Maria | female | USP | PQ-A | unknown | SP | Sudeste
Maria do Carmo Nicoletti | Maria | female | UFSCAR | PQ-C | PQ-C | SP | Sudeste
Mariana Luderitz Kolberg | Mariana | female | UFRGS | PQ-C | PQ-C | RS | Sul
Mariana Recamonde Mendoza | Mariana | female | UFRGS | PQ-2 | PQ-2 | RS | Sul
Mario Antonio Ribeiro Dantas | Mario | male | UFJF | PQ-C | PQ-C | MG | Sudeste
Mario Fernando Montenegro Campos | Mario | male | UFMG | PQ-1B | PQ-1 | MG | Sudeste
Mario Lemes Proença Junior | Mario | male | UEL | PQ-2 | PQ-2 | PR | Sul
Mario Roberto Folhadela Benevides | Mario | male | UFF | PQ-2 | PQ-2 | RJ | Sudeste
Marley Maria Bernardes Rebuzzi Vellasco | Marley | female | PUC-Rio | PQ-A | unknown | RJ | Sudeste
Marta Lima de Queiros Mattoso | Marta | female | UFRJ | PQ-1B | PQ-1 | RJ | Sudeste
Mauricio Ayala Rincon | Mauricio | male | UnB | PQ-1D | PQ-1 | DF | Centro-Oeste
Mauro Antonio Rincon | Mauro | male | UFRJ | PQ-2 | PQ-2 | RJ | Sudeste
Mauro Sergio Pereira Fonseca | Mauro | male | UTFPR | PQ-C | PQ-C | PR | Sul
Maycon Leone Maciel Peixoto | Maycon | male | UFBA | PQ-C | PQ-C | BA | Nordeste
Michele Nogueira Lima | Michele | female | UFMG | PQ-B | unknown | MG | Sudeste
Miguel Elias Mitre Campista | Miguel | male | UFRJ | PQ-B | unknown | RJ | Sudeste
Milton Yutaka Nishiyama Junior | Milton | male | IBU | PQ-2 | PQ-2 | SP | Sudeste
Mirella Moura Moro | Mirella | female | UFMG | PQ-2 | PQ-2 | MG | Sudeste
Mitre Costa Dourado | Mitre | male | UFRJ | PQ-B | unknown | RJ | Sudeste
Moacir Antonelli Ponti | Moacir | male | USP | PQ-2 | PQ-2 | SP | Sudeste
Monalessa Perini Barcellos | Monalessa | female | UFES | PQ-C | PQ-C | ES | Sudeste
Myriam Regattieri De Biase da Silva Delgado | Myriam | female | UTFPR | PQ-2 | PQ-2 | PR | Sul
Nabor das Chagas Mendonça | Nabor | male | UNIFOR | PQ-2 | PQ-2 | CE | Nordeste
Nadia Nedjah | Nadia | female | UERJ | PQ-1D | PQ-1 | RJ | Sudeste
Nalvo Franco de Almeida Junior | Nalvo | male | UFMS | PQ-2 | PQ-2 | MS | Centro-Oeste
Nelson Luis Saldanha da Fonseca | Nelson | male | UNICAMP | PQ-A | unknown | SP | Sudeste
Nelson Maculan Filho | Nelson | male | UFRJ | PQ-A | unknown | RJ | Sudeste
Nelson Souto Rosa | Nelson | male | UFPE | PQ-C | PQ-C | PE | Nordeste
Nina Sumiko Tomita Hirata | Nina | female | USP | PQ-C | PQ-C | SP | Sudeste
Nivan Roberto Ferreira Júnior | Nivan | male | UFPE | PQ-2 | PQ-2 | PE | Nordeste
Nivio Ziviani | Nivio | male | UFMG | PQ-1A | PQ-1 | MG | Sudeste
Odemir Martinez Bruno | Odemir | male | USP | PQ-1C | PQ-1 | SP | Sudeste
Orlando Lee | Orlando | male | UNICAMP | PQ-2 | PQ-2 | SP | Sudeste
Patricia Takako Endo | Patricia | female | UPE | PQ-C | PQ-C | PE | Nordeste
Paulo André Vechiatto de Miranda | Paulo | male | USP | PQ-C | PQ-C | SP | Sudeste
Paulo de Figueiredo Pires | Paulo | male | UFF | PQ-2 | PQ-2 | RJ | Sudeste
Paulo Henrique Monteiro Borba | Paulo | male | UFPE | PQ-1C | PQ-1 | PE | Nordeste
Paulo Roberto Freire Cunha | Paulo | male | UFPE | PQ-SR | unknown | PE | Nordeste
Paulo Roberto Oliveira | Paulo | male | UFRJ | PQ-1D | PQ-1 | RJ | Sudeste
Paulo Romero Martins Maciel | Paulo | male | UFPE | PQ-1A | PQ-1 | PE | Nordeste
Paulo Salgado Gomes de Mattos Neto | Paulo | male | UFPE | PQ-C | PQ-C | PE | Nordeste
Paulo Sérgio Lopes de Souza | Paulo | male | USP | PQ-C | PQ-C | SP | Sudeste
Paulo Sergio Marques dos Santos | Paulo | male | UFDPar | PQ-2 | PQ-2 | PI | Nordeste
Pedro Henrique González Silva | Pedro | male | UFRJ | PQ-C | PQ-C | RJ | Sudeste
Pedro Jussieu de Rezende | Pedro | male | UNICAMP | PQ-2 | PQ-2 | SP | Sudeste
Pedro Olmo Stancioli Vaz De Melo | Pedro | male | UFMG | PQ-C | PQ-C | MG | Sudeste
Pedro Paulo Balbi de Oliveira | Pedro | male | MACKENZIE | PQ-2 | PQ-2 | SP | Sudeste
Pedro Pedrosa Rebouças Filho | Pedro | male | IFCE | PQ-2 | PQ-2 | CE | Nordeste
Péricles Barbosa Cunha de Miranda | Péricles | male | UFRPE | PQ-C | PQ-C | PE | Nordeste
Philippe Olivier Alexandre Navaux | Philippe | male | UFRGS | PQ-1A | PQ-1 | RS | Sul
Rafael Augusto de Melo | Rafael | male | UFBA | PQ-2 | PQ-2 | BA | Nordeste
Rafael Crivellari Saliba Schouery | Rafael | male | UNICAMP | PQ-2 | PQ-2 | SP | Sudeste
Rafael Dueire Lins | Rafael | male | UFRPE | PQ-SR | unknown | PE | Nordeste
Rafael Ferreira Leite de Mello | Rafael | male | UFRPE | PQ-C | PQ-C | PE | Nordeste
Rafael Kunst | Rafael | male | UNISINOS | PQ-C | PQ-C | RS | Sul
Rafael Prikladnicki | Rafael | male | PUCRS | PQ-1D | PQ-1 | RS | Sul
Rafael Zancan Frantz | Rafael | male | UNIJUI | PQ-2 | PQ-2 | RS | Sul
Raphael Carlos Santos Machado | Raphael | male | UFF | PQ-1D | PQ-1 | RJ | Sudeste
Raphael Yokoingawa de Camargo | Raphael | male | UFABC | PQ-2 | PQ-2 | SP | Sudeste
Raquel Cardoso de Melo Minardi | Raquel | female | UFMG | PQ-2 | PQ-2 | MG | Sudeste
Regina Maria Maciel Braga | Regina | female | UFJF | PQ-2 | PQ-2 | MG | Sudeste
Reinaldo Augusto da Costa Bianchi | Reinaldo | male | FEI | PQ-2 | PQ-2 | SP | Sudeste
Renata Hax Sander Reiser | Renata | female | UFPEL | PQ-2 | PQ-2 | RS | Sul
Renata Lopes Rosa | Renata | female | UFLA | PQ-C | PQ-C | MG | Sudeste
Renata Maria Cardoso Rodrigues de Souza | Renata | female | UFPE | PQ-1D | PQ-1 | PE | Nordeste
Renato Antonio Celso Ferreira | Renato | male | UFMG | PQ-1D | PQ-1 | MG | Sudeste
Renato Antonio Krohling | Renato | male | UFES | PQ-C | PQ-C | ES | Sudeste
Renato Portugal | Renato | male | LNCC | PQ-1D | PQ-1 | RJ | Sudeste
Renato Tinós | Renato | male | USP | PQ-C | PQ-C | SP | Sudeste
Rian Gabriel Santos Pinheiro | Rian | male | UFAL | PQ-C | PQ-C | AL | Nordeste
Ricardo Araújo Rios | Ricardo | male | UFBA | PQ-2 | PQ-2 | BA | Nordeste
Ricardo Bastos Cavalcante Prudencio | Ricardo | male | UFPE | PQ-1D | PQ-1 | PE | Nordeste
Ricardo Cerri | Ricardo | male | USP | PQ-B | unknown | SP | Sudeste
Ricardo de Andrade Lira Rabêlo | Ricardo | male | UFPI | PQ-2 | PQ-2 | PI | Nordeste
Ricardo dos Santos Ferreira | Ricardo | male | UFV | PQ-C | PQ-C | MG | Sudeste
Ricardo Marcondes Marcacini | Ricardo | male | USP | PQ-2 | PQ-2 | SP | Sudeste
Roberto Marcondes Cesar Junior | Roberto | male | USP | PQ-A | unknown | SP | Sudeste
Roberto Pereira | Roberto | male | UFPR | PQ-2 | PQ-2 | PR | Sul
Roberto Souto Maior de Barros | Roberto | male | UFPE | PQ-2 | PQ-2 | PE | Nordeste
Rodolfo Ipolito Meneguette | Rodolfo | male | USP | PQ-B | unknown | SP | Sudeste
Rodolfo Jardim de Azevedo | Rodolfo | male | UNICAMP | PQ-2 | PQ-2 | SP | Sudeste
Rodrigo Bonifacio de Almeida | Rodrigo | male | UnB | PQ-C | PQ-C | DF | Centro-Oeste
Rodrigo Coelho Barros | Rodrigo | male | PUCRS | PQ-2 | PQ-2 | RS | Sul
Rodrigo da Rosa Righi | Rodrigo | male | UNISINOS | PQ-C | PQ-C | RS | Sul
Rodrigo de Melo Souza Veras | Rodrigo | male | UFPI | PQ-2 | PQ-2 | PI | Nordeste
Rodrigo Minetto | Rodrigo | male | UTFPR | PQ-2 | PQ-2 | PR | Sul
Rodrigo Pereira dos Santos | Rodrigo | male | UNIRIO | PQ-2 | PQ-2 | RJ | Sudeste
Rodrygo Luis Teodoro Santos | Rodrygo | male | UFMG | PQ-C | PQ-C | MG | Sudeste
Roger Kreutz Immich | Roger | male | UFRN | PQ-2 | PQ-2 | RN | Nordeste
Rohit Gheyi | Rohit | male | UFCG | PQ-2 | PQ-2 | PB | Nordeste
Ronaldo Alves Ferreira | Ronaldo | male | UFMS | PQ-2 | PQ-2 | MS | Centro-Oeste
Ronaldo Cristiano Prati | Ronaldo | male | UFABC | PQ-C | PQ-C | SP | Sudeste
Ronaldo Fumio Hashimoto | Ronaldo | male | USP | PQ-C | PQ-C | SP | Sudeste
Rudini Menezes Sampaio | Rudini | male | UFC | PQ-1D | PQ-1 | CE | Nordeste
Ruy José Guerra Barretto de Queiroz | Ruy | male | UFPE | PQ-C | PQ-C | PE | Nordeste
Sabrina dos Santos Marczak | Sabrina | female | PUCRS | PQ-C | PQ-C | RS | Sul
Sandra Eliza Fontes de Avila | Sandra | female | UNICAMP | PQ-2 | PQ-2 | SP | Sudeste
Sergio Castelo Branco Soares | Sergio | male | UFPE | PQ-2 | PQ-2 | PE | Nordeste
Sergio Lifschitz | Sergio | male | PUC-Rio | PQ-C | PQ-C | RJ | Sudeste
Sheila dos Santos Reinehr | Sheila | female | PUC/PR | PQ-C | PQ-C | PR | Sul
Silvia Regina Vergilio | Silvia | female | UFPR | PQ-1D | PQ-1 | PR | Sul
Silvio Jamil Ferzoli Guimarães | Silvio | male | PUC Minas | PQ-2 | PQ-2 | MG | Sudeste
Simone Dantas de Souza | Simone | female | UFF | PQ-1C | PQ-1 | RJ | Sudeste
Simone Diniz Junqueira Barbosa | Simone | female | PUC-Rio | PQ-1D | PQ-1 | RJ | Sudeste
Simone do Rocio Senger de Souza | Simone | female | USP | PQ-C | PQ-C | SP | Sudeste
Solange Oliveira Rezende | Solange | female | USP | PQ-C | PQ-C | SP | Sudeste
Soraia Raupp Musse | Soraia | female | PUCRS | PQ-1C | PQ-1 | RS | Sul
Sulamita Klein | Sulamita | female | UFRJ | PQ-1B | PQ-1 | RJ | Sudeste
Tatiane Nogueira Rios | Tatiane | female | UFBA | PQ-2 | PQ-2 | BA | Nordeste
Tayana Uchôa Conte | Tayana | female | UFAM | PQ-1D | PQ-1 | AM | Norte
Teobaldo Leite Bulhões Júnior | Teobaldo | male | UFPB | PQ-C | PQ-C | PB | Nordeste
Teresa Bernarda Ludermir | Teresa | female | UFPE | PQ-1A | PQ-1 | PE | Nordeste
Thais Vasconcelos Batista | Thais | female | UFRN | PQ-1C | PQ-1 | RN | Nordeste
Thelma Elita Colanzi | Thelma | female | UEM | PQ-C | PQ-C | PR | Sul
Thiago Ferreira de Noronha | Thiago | male | UFMG | PQ-C | PQ-C | MG | Sudeste
Thiago Oliveira dos Santos | Thiago | male | UFES | PQ-2 | PQ-2 | ES | Sudeste
Tiago Agostinho de Almeida | Tiago | male | UFSCAR | PQ-2 | PQ-2 | SP | Sudeste
Tiago Alessandro Espinola Ferreira | Tiago | male | UFRPE | PQ-C | PQ-C | PE | Nordeste
Tiago Pereira do Nascimento | Tiago | male | UFPB | PQ-1D | PQ-1 | PB | Nordeste
Troy Costa Kohwalter | Troy | male | UFF | PQ-C | PQ-C | RJ | Sudeste
Tsang Ing Ren | Tsang | male | UFPE | PQ-2 | PQ-2 | PE | Nordeste
Uéverton dos Santos Souza | Uéverton | male | UFF | PQ-1D | PQ-1 | RJ | Sudeste
Uira Kulesza | Uira | male | UFRN | PQ-C | PQ-C | RN | Nordeste
Ulisses Martins Dias | Ulisses | male | UNICAMP | PQ-2 | PQ-2 | SP | Sudeste
Valmir Carneiro Barbosa | Valmir | male | UERJ | PQ-SR | unknown | RJ | Sudeste
Vander Ramos Alves | Vander | male | UnB | PQ-C | PQ-C | DF | Centro-Oeste
Vanessa Braganholo Murta | Vanessa | female | UFF | PQ-2 | PQ-2 | RJ | Sudeste
Vasco Furtado | Vasco | male | UNIFOR | PQ-2 | PQ-2 | CE | Nordeste
Victor Almeida Campos | Victor | male | UFC | PQ-C | PQ-C | CE | Nordeste
Victor Ströele de Andrade Menezes | Victor | male | UFJF | PQ-2 | PQ-2 | MG | Sudeste
Vinicius Fernandes dos Santos | Vinicius | male | UFMG | PQ-B | unknown | MG | Sudeste
Viviane Pereira Moreira | Viviane | female | UFRGS | PQ-C | PQ-C | RS | Sul
Wagner Meira Junior | Wagner | male | UFMG | PQ-1A | PQ-1 | MG | Sudeste
Waldemar Celes Filho | Waldemar | male | PUC-Rio | PQ-2 | PQ-2 | RJ | Sudeste
Wallace Correa de Oliveira Casaca | Wallace | male | UNESP | PQ-C | PQ-C | SP | Sudeste
Wesley Nunes Gonçalves | Wesley | male | UFMS | PQ-2 | PQ-2 | MS | Centro-Oeste
Weverton Luis da Costa Cordeiro | Weverton | male | UFRGS | PQ-2 | PQ-2 | RS | Sul
William Robson Schwartz | William | male | UFMG | PQ-1C | PQ-1 | MG | Sudeste
Wilson Rosa de Oliveira Junior | Wilson | male | UFRPE | PQ-C | PQ-C | PE | Nordeste
Windson Viana de Carvalho | Windson | male | UFC | PQ-C | PQ-C | CE | Nordeste
Wouter Caarls | Wouter | male | PUC-Rio | PQ-C | PQ-C | RJ | Sudeste
Yandre Maldonado e Gomes da Costa | Yandre | male | UEM | PQ-2 | PQ-2 | PR | Sul
Yoshiharu Kohayakawa | Yoshiharu | male | USP | PQ-1A | PQ-1 | SP | Sudeste
Yoshiko Wakabayashi | Yoshiko | female | USP | PQ-1A | PQ-1 | SP | Sudeste
Yuri Abitbol de Menezes Frota | Yuri | male | UFF | PQ-C | PQ-C | RJ | Sudeste
Zanoni Dias | Zanoni | male | UNICAMP | PQ-1D | PQ-1 | SP | Sudeste
Zhao Liang | Zhao | male | USP | PQ-1B | PQ-1 | SP | Sudeste
